Function Name,"Total CPU [unit, %]","Self CPU [unit, %]",Module
 + silkroad.exe (PID: 19892),8618 (100.00%),0 (0.00%),silkroad.exe
| - [External Code],8618 (100.00%),5189 (60.21%),Multiple modules
| - __scrt_common_main_seh,7133 (82.77%),0 (0.00%),silkroad.exe
| - WinMain,6694 (77.67%),1 (0.01%),silkroad.exe
| - gameplay::FSM_COMP_UPDATE,2110 (24.48%),0 (0.00%),silkroad.exe
| - systems::SSMLoadSpriteSource,2107 (24.45%),0 (0.00%),silkroad.exe
| - graphics::Texture::Initialize,2104 (24.41%),0 (0.00%),silkroad.exe
| - gameplay::SceneManager::init,2019 (23.43%),0 (0.00%),silkroad.exe
| - systems::Deserialization::Scene,2018 (23.42%),0 (0.00%),silkroad.exe
| - systems::Deserialization::SSModular,2014 (23.37%),0 (0.00%),silkroad.exe
| - systems::CallFunction,1907 (22.13%),5 (0.06%),silkroad.exe
| - systems::DLLFunction::call_function,1894 (21.98%),6 (0.07%),silkroad.exe
| - stbi_load_from_file,1645 (19.09%),0 (0.00%),silkroad.exe
| - stbi__load_and_postprocess_8bit,1639 (19.02%),0 (0.00%),silkroad.exe
| - stbi__load_main,1637 (19.00%),0 (0.00%),silkroad.exe
| - stbi__parse_png_file,1534 (17.80%),35 (0.41%),silkroad.exe
| - ParticleSystem::Frame,1524 (17.68%),1522 (17.66%),silkroad.exe
| - systems::DLLFunction::call_function_with_args,1202 (13.95%),2 (0.02%),silkroad.exe
| - gameplay::SceneManagerSplash4SceneInit,813 (9.43%),0 (0.00%),silkroad.exe
| - stbi__parse_zlib,723 (8.39%),0 (0.00%),silkroad.exe
| - stbi__create_png_image,707 (8.20%),0 (0.00%),silkroad.exe
| - stbi__parse_huffman_block,676 (7.84%),629 (7.30%),silkroad.exe
| - stbi__create_png_image_raw,610 (7.08%),580 (6.73%),silkroad.exe
| - windows::SystemClass::Initialize,577 (6.70%),0 (0.00%),silkroad.exe
| - input::KeyboardUpdate,525 (6.09%),6 (0.07%),silkroad.exe
| - graphics::GraphicsClass::Initialize,519 (6.02%),0 (0.00%),silkroad.exe
| - graphics::D3DClass::Initialize,518 (6.01%),0 (0.00%),silkroad.exe
| - gameplay::SceneManagerSplash2SceneInit,508 (5.89%),0 (0.00%),silkroad.exe
| - gameplay::SceneManagerSplash3SceneInit,473 (5.49%),0 (0.00%),silkroad.exe
| - graphics::GraphicsClass::Shutdown,413 (4.79%),0 (0.00%),silkroad.exe
| - input::Controller::Update,405 (4.70%),1 (0.01%),silkroad.exe
| - systems::SerializationLoad,234 (2.72%),0 (0.00%),silkroad.exe
| - systems::Deserialization::Audio,233 (2.70%),0 (0.00%),silkroad.exe
| - gameplay::SceneManagerSplash1SceneInit,221 (2.56%),0 (0.00%),silkroad.exe
| - systems::SpriteRender,178 (2.07%),1 (0.01%),silkroad.exe
| - graphics::GraphicsClass::Render,172 (2.00%),8 (0.09%),silkroad.exe
| - systems::playerinputUpdate,127 (1.47%),2 (0.02%),silkroad.exe
| - [Unwalkable],127 (1.47%),0 (0.00%),Multiple modules
| - systems::CollisionUpdate,121 (1.40%),2 (0.02%),silkroad.exe
| - components::SpriteArray::ReSort,109 (1.26%),0 (0.00%),silkroad.exe
| - systems::ParticleRender,106 (1.23%),2 (0.02%),silkroad.exe
| - components::ComponentArray<components::Animation>::exists,101 (1.17%),65 (0.75%),silkroad.exe
| - load_jpeg_image,101 (1.17%),0 (0.00%),silkroad.exe
| - graphics::GraphicsClass::RenderParticles,98 (1.14%),2 (0.02%),silkroad.exe
| - gameplay::SceneManagerGameSceneUpdate,98 (1.14%),1 (0.01%),silkroad.exe
"| - std::_Sort_unchecked<components::Sprite *,<lambda_db1c0f85cecb67259c314088c0ea9577> >",96 (1.11%),1 (0.01%),silkroad.exe
| - gameplay::SceneManager::exit,91 (1.06%),0 (0.00%),silkroad.exe
| - gameplay::SceneManagerSplash1SceneExit,91 (1.06%),0 (0.00%),silkroad.exe
| - systems::Deserialization::SpriteSources,91 (1.06%),0 (0.00%),silkroad.exe
| - utils::ObjectWrapper::CallFunction<0>,90 (1.04%),0 (0.00%),silkroad.exe
| - operator new,89 (1.03%),5 (0.06%),silkroad.exe
| - graphics::CameraClass::GetScalarMatrix,85 (0.99%),1 (0.01%),silkroad.exe
| - stbi__parse_entropy_coded_data,83 (0.96%),3 (0.03%),silkroad.exe
| - stbi__decode_jpeg_image,83 (0.96%),0 (0.00%),silkroad.exe
| - <lambda_db1c0f85cecb67259c314088c0ea9577>::operator(),81 (0.94%),4 (0.05%),silkroad.exe
| - components::Collider::operator==,76 (0.88%),76 (0.88%),silkroad.exe
| - graphics::CameraClass::GetRotationMatrix,69 (0.80%),0 (0.00%),silkroad.exe
"| - std::_Hash<std::_Umap_traits<boost::uuids::uuid,components::Placeholder,std::_Uhash_compare<boost::uuids::uuid,boost::hash<boost::uuids::uuid>,std::equal_to<boost::uuids::uuid> >,std::allocator<std::pair<boost::uuids::uuid const ,components::Placeholder> >,0> >::_Find_last<boost::uuids::uuid>",66 (0.77%),41 (0.48%),silkroad.exe
| - components::ArrowUpdate,63 (0.73%),0 (0.00%),silkroad.exe
| - [System Call] ntoskrnl.exe,62 (0.72%),62 (0.72%),ntoskrnl.exe
| - graphics::ColorTextureShaderClass::Render,62 (0.72%),7 (0.08%),silkroad.exe
"| - std::_Partition_by_median_guess_unchecked<components::Sprite *,<lambda_db1c0f85cecb67259c314088c0ea9577> >",60 (0.70%),2 (0.02%),silkroad.exe
| - components::Arrow::deadZones,58 (0.67%),1 (0.01%),silkroad.exe
